timestamp,stage,item_start,item_end,count,duration_s,notes
2026-07-02 12:09:01,pair_preprocess,1,1,115,37.4147,ordered_pair_000001
2026-07-02 12:09:01,complete_preprocessing,1,1,115,37.4610,"successful_pairs=1,failed_pairs=0"
2026-07-02 12:09:10,training_image_progress,0,31,32,0.7219,
2026-07-02 12:09:10,training_image_progress,96,114,19,0.3330,
2026-07-02 12:09:10,feature_extraction,0,114,1840,7.1533,generated_R_crop_patches
2026-07-02 12:09:10,build_memory_bank,0,0,"torch.Size([1840, 9216])",0.0410,in_memory_concat
2026-07-02 12:09:10,coreset_subsample,0,0,"torch.Size([184, 9216])",0.0040,percentage=0.1
2026-07-02 12:09:10,final_model_save,0,0,"torch.Size([184, 9216])",0.0088,out_path=C:\Users\Hi\OneDrive - radometech.com\Desktop\Apollo_patch_pos\media\training\SKU_001\bead\SKU_001_bead_patchcore_model.pth
2026-07-02 12:09:11,complete_pipeline,0,0,115,47.9761,model=C:\Users\Hi\OneDrive - radometech.com\Desktop\Apollo_patch_pos\media\training\SKU_001\bead\SKU_001_bead_patchcore_model.pth
