timestamp,stage,item_start,item_end,count,duration_s,notes
2026-07-02 11:44:33,pair_preprocess,1,1,115,37.4487,ordered_pair_000001
2026-07-02 11:44:33,complete_preprocessing,1,1,115,37.4930,"successful_pairs=1,failed_pairs=0"
2026-07-02 11:44:42,training_image_progress,0,31,32,0.7444,
2026-07-02 11:44:42,training_image_progress,96,114,19,0.3293,
2026-07-02 11:44:42,feature_extraction,0,114,1840,7.2463,generated_R_crop_patches
2026-07-02 11:44:42,build_memory_bank,0,0,"torch.Size([1840, 9216])",0.0422,in_memory_concat
2026-07-02 11:44:42,coreset_subsample,0,0,"torch.Size([184, 9216])",0.0044,percentage=0.1
2026-07-02 11:44:42,final_model_save,0,0,"torch.Size([184, 9216])",0.0081,out_path=C:\Users\Hi\OneDrive - radometech.com\Desktop\Apollo_patch_pos\media\training\SKU_001\innerwall\SKU_001_innerwall_patchcore_model.pth
2026-07-02 11:44:44,complete_pipeline,0,0,115,48.1150,model=C:\Users\Hi\OneDrive - radometech.com\Desktop\Apollo_patch_pos\media\training\SKU_001\innerwall\SKU_001_innerwall_patchcore_model.pth
